name,group,year,value,subGroup
Vadodara,India,2010,1798000,India
Vadodara,India,2011,1834000,India
Vadodara,India,2012,1871000,India
Vadodara,India,2013,1909000,India
Vadodara,India,2014,1948000,India
Vadodara,India,2015,1987000,India
Vadodara,India,2016,2027000,India
Vadodara,India,2017,2068000,India
Vadodara,India,2018,2110000,India
Vadodara,India,2019,2149000,India
Vadodara,India,2020,2190000,India
Ahemdabad,India,2010,6250000,India
Ahemdabad,India,2011,64,13000
Ahemdabad,India,2012,6580000,India
Ahemdabad,India,2013,6752000,India
Ahemdabad,India,2014,6928000,India
Ahemdabad,India,2015,7109000,India
Ahemdabad,India,2016,7295000,India
Ahemdabad,India,2017,7485000,India
Ahemdabad,India,2018,7681000,India
Ahemdabad,India,2019,7869000,India
Ahemdabad,India,2020,8059000,India
Surat,India,2010,4445000,India
Surat,India,2011,4667000,India
Surat,India,2012,4900000,India
Surat,India,2013,5144000,India
Surat,India,2014,5401000,India
Surat,India,2015,5671000,India
Surat,India,2016,5954000,India
Surat,India,2017,6251000,India
Surat,India,2018,6564000,India
Surat,India,2019,6874000,India
Surat,India,2020,7185000,India
